country,land_hect,10_tc_ha,10_tc_pc,25_tc_ha,25_tc_pc,50_tc_ha,50_tc_pc,75_tc_ha,75_tc_pc,gain_01_12_ha,loss_10_pc,loss_25_pc,loss_50_pc,loss_75_pc,total_loss,latitude,longitude
Puerto Rico,890729,561211,0.63,531676,0.597,491939,0.552,438069,0.492,6400,13335,13113,12383,10485,0.023,,
Republic of Congo,33856218,33518201,0.99,28570203,0.844,23943743,0.707,21420158,0.633,46656,299212,289289,262134,181859,0.009,,
Reunion,247653,203266,0.821,180350,0.728,131491,0.531,74193,0.3,3067,3113,3076,2754,1231,0.015,,
Romania,23569104,8487955,0.36,8086275,0.343,7377447,0.313,6283576,0.267,152987,229276,228702,226175,215848,0.027,,
Russia,1627310874,883397149,0.543,785842157,0.483,601186751,0.369,330460754,0.203,16229203,34222564,32110772,25831839,16997232,0.038,,
Rwanda,2383129,2048860,0.86,702581,0.295,205983,0.086,88867,0.037,7114,17749,15545,9014,2691,0.009,,
Saint Kitts and Nevis,26143,14371,0.55,13551,0.518,12367,0.473,10738,0.411,102,281,276,260,234,0.019,,
Saint Lucia,60374,52509,0.87,51134,0.847,49236,0.816,45123,0.747,35,639,637,629,597,0.012,,
Saint Pierre and Miquelon,21511,6073,0.282,5583,0.26,4151,0.193,1146,0.053,0,0,0,0,0,0,,
Saint Vincent and the Grenadines,38760,30951,0.799,29411,0.759,27830,0.718,23333,0.602,19,298,295,288,262,0.01,,
Saint-Barthelemy,2038,789,0.387,660,0.324,485,0.238,308,0.151,1,1,1,1,0,0.001,,
Saint-Martin,4880,2041,0.418,1892,0.388,1676,0.343,1384,0.284,35,40,40,37,33,0.02,,
San Marino,6121,1099,0.18,925,0.151,593,0.097,264,0.043,21,3,3,2,0,0.002,,
Sao Tome and Principe,16045,15425,0.961,14447,0.9,13221,0.824,10738,0.669,14,80,78,78,77,0.005,,
Saudi Arabia,190835741,33,0,7,0,7,0,0,0,0,4,0,0,0,0.102,,
Senegal,19428242,4781226,0.246,174403,0.009,2078,0,52,0,215,80373,2597,345,28,0.017,,
Serbia,7739834,3019027,0.39,2832274,0.366,2498471,0.323,1913233,0.247,35606,26335,26205,25774,24501,0.009,,
Seychelles,17171,12621,0.735,7036,0.41,2880,0.168,302,0.018,0,2,1,1,0,0,,
Sierra Leone,7205155,7137502,0.991,6073132,0.843,3588706,0.498,242405,0.034,45123,196637,194295,170254,47164,0.027,,
Singapore,63854,21811,0.342,19368,0.303,16761,0.262,11498,0.18,1254,862,848,803,624,0.04,,
Sint Maarten,3356,1152,0.343,1062,0.316,924,0.275,723,0.216,6,27,25,20,12,0.023,,
Slovakia,4883755,2490739,0.51,2422946,0.496,2298428,0.471,2016982,0.413,52260,123300,123089,122015,115276,0.048,,
Slovenia,1993345,1341864,0.673,1308236,0.656,1247054,0.626,1116640,0.56,3498,16007,15932,15593,14010,0.012,,
Solomon Islands,2791601,2744993,0.983,2738802,0.981,2726639,0.977,2682496,0.961,20256,62755,62735,62673,62145,0.023,,
Somalia,63259285,3886077,0.061,134777,0.002,15635,0,1083,0,280,7028,3188,968,118,0.002,,
South Africa,121687206,22224353,0.183,7124635,0.059,3164413,0.026,1082586,0.009,831282,947217,884879,777521,441064,0.042,,
